Age,Income,LoanAmount,LoanTerm,CreditScore,EmploymentYears,ExistingLoans,Dependents,Education,SelfEmployed,PropertyArea,MaritalStatus,DebtToIncomeRatio,Loan_Approved
59,110342.0,223340.0,120,681.0,0.6,2,2.0,Graduate,No,Semiurban,Married,0.202,1
49,18559.0,94581.0,180,671.0,2.9,1,1.0,Not Graduate,No,Urban,Married,0.34,1
35,45784.0,176423.0,24,584.0,1.5,1,1.0,Graduate,No,Semiurban,Married,1.927,0
28,44401.0,20000.0,360,677.0,12.0,1,1.0,Graduate,No,Urban,Single,0.015,1
41,90783.0,228205.0,12,751.0,0.5,2,3.0,Graduate,Yes,Semiurban,Married,2.514,0
59,15000.0,89772.0,12,779.0,0.3,1,1.0,Not Graduate,No,Urban,Single,3.0,0
39,66304.0,39917.0,36,694.0,0.0,3,0.0,Graduate,No,Urban,Single,0.201,0
43,49350.0,122832.0,36,692.0,2.0,1,0.0,Graduate,Yes,Semiurban,Single,0.83,0
31,91038.0,102288.0,12,628.0,5.4,2,0.0,Graduate,,Rural,Married,1.124,0
31,88023.0,235941.0,180,743.0,6.6,0,,Not Graduate,No,Semiurban,Single,0.179,1
44,63041.0,116368.0,60,554.0,3.0,0,0.0,Graduate,No,Semiurban,Married,0.369,1
56,20246.0,259009.0,24,732.0,5.8,2,3.0,Graduate,No,Semiurban,Married,3.0,0
44,42374.0,176411.0,84,624.0,2.2,3,0.0,Graduate,Yes,Semiurban,Married,0.595,0
23,44783.0,221549.0,120,784.0,5.5,1,3.0,Graduate,Yes,Urban,Single,0.495,0
42,25818.0,149827.0,360,703.0,0.2,1,2.0,Graduate,No,Urban,Married,0.193,1
22,80401.0,251765.0,60,644.0,2.5,2,1.0,Graduate,No,Rural,Single,0.626,1
44,23025.0,57710.0,24,629.0,7.8,0,2.0,Graduate,No,Semiurban,Married,1.253,0
50,98237.0,159090.0,84,697.0,8.1,2,0.0,Graduate,No,Semiurban,Married,0.231,0
58,98182.0,118285.0,36,693.0,6.3,0,1.0,Not Graduate,No,Semiurban,Single,0.402,1
22,46529.0,261730.0,24,614.0,1.1,0,0.0,Graduate,Yes,Urban,Married,2.813,0
41,62227.0,269923.0,12,658.0,1.4,1,1.0,Graduate,,Semiurban,Single,3.0,0
53,53410.0,150034.0,24,731.0,27.7,1,,Graduate,No,Semiurban,Single,1.405,0
32,74840.0,46679.0,120,527.0,0.5,1,0.0,Graduate,No,Urban,Married,0.062,0
42,83043.0,184168.0,240,715.0,1.0,0,3.0,Graduate,Yes,Semiurban,Married,0.111,1
45,60676.0,20000.0,36,697.0,0.7,2,1.0,Graduate,No,Semiurban,Married,0.11,0
47,65321.0,280091.0,360,757.0,2.0,0,1.0,Not Graduate,Yes,Rural,Married,0.143,0
48,41347.0,112146.0,360,586.0,1.2,0,4.0,Graduate,No,Urban,Married,0.09,0
36,64608.0,147554.0,24,651.0,3.4,2,2.0,Graduate,No,Semiurban,Married,1.142,0
35,58581.0,95524.0,240,668.0,3.2,2,2.0,Graduate,Yes,Urban,Single,0.082,1
23,34941.0,77857.0,84,716.0,11.6,1,2.0,Graduate,No,Urban,Married,0.318,1
57,54691.0,208983.0,60,689.0,0.2,0,3.0,Graduate,No,Rural,Single,0.764,1
27,46570.0,137311.0,84,538.0,1.9,0,0.0,Graduate,No,Semiurban,Married,0.421,0
